ID,2012 Kraj,2013 Kraj,2014 Kraj,2015 Kraj,2016 Kraj,2017 Kraj,2018 Kraj,2019 Kraj,2020 Kraj,2021 Kraj,2022 Kraj,2023 Kraj,2024 Kraj,2025 Kraj,2026 Kraj,2012 pořadí kraj,2013 pořadí kraj,2014 pořadí kraj,2015 pořadí kraj,2016 pořadí kraj,2017 pořadí kraj,2018 pořadí kraj,2019 pořadí kraj,2020 pořadí kraj,2021 pořadí kraj,2022 pořadí kraj,2023 pořadí kraj,2024 pořadí kraj,2025 pořadí kraj,2026 pořadí kraj,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
35868,KSST Vysočina,,,KSST Vysočina,,,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,,,,,176,,,228,,,261,332,257,,301,,,,,2751,,,3657,,,4265,5367,4205,,4949,,,,,176,,,228,,,261,332,257,,301,,,,,,,,,,,,,,,,,,,,,,,1046,13054,1046,131,1698,131,,,,,,,,,,,,,,,,,,
35877,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,,KSST Jihomoravský,,,,,565,675,830,868,891,860,936,982,914,,865,,,,,4312,4704,5490,6425,6548,6407,7106,7329,6918,,6618,,,,,565,675,830,868,891,860,936,982,914,,865,,,,,547,4756,547,1297,8760,1297,1233,7463,1233,1040,7398,1040,713,5272,713,1478,11067,1478,1171,8893,1171,697,5406,697,,,,,,,,,,,,,,,,,,
35878,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,171,174,203,118,133,194,146,137,169,107,180,148,130,187,232,2806,2974,3510,2465,2776,3686,3141,2922,3320,2121,3402,2865,2487,3388,3894,171,174,203,118,133,194,146,137,169,107,180,148,130,187,232,437,4560,437,722,8284,722,52,514,52,659,9076,659,865,12061,865,229,3234,229,339,4947,339,813,11053,813,62,1210,62,315,5594,315,205,3017,205,238,3234,238,930,12739,930,858,11060,858
35879,,,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,Středočeský SST,,,,,,572,798,819,873,971,974,694,,,1145,,,,,,4365,6189,6376,6566,7154,7115,4645,,,8388,,,,,,572,798,819,873,971,974,694,,,1145,,,,,,,,,,,,1845,12849,1845,1014,7338,1014,1117,8290,1117,1695,10881,1695,1278,7880,1278,1274,6988,1274,,,,,,,,,,,,,,,
35886,KSST Kralovéhradecký,,,,,,,,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,896,,,,,,,,655,487,601,431,463,386,387,8510,,,,,,,,8823,5242,8009,5724,6496,5167,5310,896,,,,,,,,655,487,601,431,463,386,387,,,,,,,,,,,,,,,,,,,,,,,,,625,6436,625,150,1615,150,58,629,58,821,11439,821,90,1374,90,613,8456,613
35887,,,,KSST Jihočeský,,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,,KSST Jihočeský,,,,,,,,444,,348,369,386,361,,364,,,,,,,,7169,,6138,6507,6491,6061,,5843,,,,,,,,444,,348,369,386,361,,364,,,,,,,,,,,,,,,,,,,,638,9250,638,476,7083,476,412,5406,412,,,,,,,,,,,,,,,,,,
35890,KSST Plzeňský,KSST Plzeňský,KSST Plzeňský,KSST Plzeňský,KSST Plzeňský,,KSST Plzeňský,KSST Plzeňský,,,,,,,,599,530,511,453,503,,579,569,,,,,,,,7980,7749,7927,8165,9143,,9758,9835,,,,,,,,599,530,511,453,503,,579,569,,,,,,,,60,902,60,375,5116,375,147,2362,147,633,11747,633,,,,,,,498,8332,498,,,,,,,,,,,,,,,,,,,,,
35892,,,,,,Moravskoslezský SST,,,,Moravskoslezský SST,,Moravskoslezský SST,,,,,,,,,831,,,,520,,751,,,,,,,,,7803,,,,4632,,7456,,,,,,,,,831,,,,520,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35893,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,,,,,,,245,350,207,285,264,251,257,293,399,,,,,,,3662,5188,3546,5128,4722,4693,4994,5327,6470,,,,,,,245,350,207,285,264,251,257,293,399,,,,,,,871,8941,871,34,355,34,858,10620,858,319,4159,319,415,5958,415,625,9107,625,652,9466,652,953,13180,953,,,,,,,,,,,,,,,,,,
35894,,,,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,,,,426,309,281,329,294,316,220,369,419,502,450,451,,,,7169,5292,4991,5662,5197,5497,3582,6206,6919,7955,6942,6905,,,,426,309,281,329,294,316,220,369,419,502,450,451,,,,,,,,,,42,753,42,294,4544,294,706,11180,706,253,4186,253,634,10065,634,333,4927,333,383,5843,383,697,11444,697,754,11984,754,167,2563,167,437,6685,437
35895,,,,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,,KSST Ústecký,KSST Ústecký,,KSST Ústecký,KSST Ústecký,,,,416,445,463,474,505,499,,574,502,,563,564,,,,6996,7296,7667,7887,8422,8403,,9237,8270,,8652,8501,,,,416,445,463,474,505,499,,574,502,,563,564,,,,,,,,,,545,8421,545,552,8539,552,558,8566,558,679,10634,679,524,8211,524,,,,,,,180,2723,180,,,,,,,383,5946,383
35897,KSST Pardubický,KSST Pardubický,KSST Pardubický,KSST Pardubický,KSST Pardubický,KSST Pardubický,,,,,,,,,,449,547,614,581,571,553,,,,,,,,,,7799,8875,9740,10979,11215,11804,,,,,,,,,,449,547,614,581,571,553,,,,,,,,,,384,6673,384,548,8962,548,309,5175,309,458,8820,458,427,8968,427,,,,,,,,,,,,,,,,,,,,,,,,,,,
35898,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,,,,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,552,559,599,698,591,601,534,638,,,,608,545,577,550,5576,6257,6943,9139,7657,7906,7106,8552,,,,7892,7487,7651,7409,552,559,599,698,591,601,534,638,,,,608,545,577,550,647,5527,647,830,8132,830,1019,10620,1019,100,1199,100,660,7805,660,269,3145,269,992,13451,992,,,,,,,,,,,,,299,4739,299,639,8808,639,410,5433,410
35900,KSST Jihočeský,KSST Jihočeský,KSST Jihočeský,,,,,,,,,,,,,370,412,467,,,,,,,,,,,,,200,389,461,,,,,,,,,,,,,11,22,26,,,,,,,,,,,,,735,971,79,736,1097,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35917,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,868,1096,1197,1563,1501,1319,1521,,1532,913,1307,1415,1380,1255,1349,5767,7602,8876,11268,11153,9975,10663,,10458,5648,9177,9855,9682,9065,9642,868,1096,1197,1563,1501,1319,1521,,1532,913,1307,1415,1380,1255,1349,1471,8954,1471,1451,9821,1451,1532,10710,1532,879,6271,879,140,979,140,1548,11180,1548,,,,,,,377,2049,377,377,2173,377,1796,11302,1796,926,5906,926,625,4147,625,1660,10783,1660
35918,Středočeský SST,Středočeský SST,,Středočeský SST,,,,,,,,,,,,1067,1153,,1442,,,,,,,,,,,,6827,7952,,10514,,,,,,,,,,,,1067,1153,,1442,,,,,,,,,,,,1210,7364,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35920,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,265,258,332,281,378,405,478,498,614,462,549,503,466,412,415,1910,1920,2467,2281,3189,3320,3805,3884,4707,3249,4290,3963,3884,3489,3514,265,258,332,281,378,405,478,498,614,462,549,503,466,412,415,689,4078,689,1335,9029,1335,363,2432,363,1764,12202,1764,1014,7338,1014,1476,10653,1476,1186,7685,1186,2037,12711,2037,1065,5833,1065,360,2082,360,746,4655,746,946,6048,946,587,3865,587,1114,7277,1114
35921,Středočeský SST,,Středočeský SST,,,,,,,,,,,,,1413,,1496,,,,,,,,,,,,,8839,,10918,,,,,,,,,,,,,1413,,1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
