ID,2012 Kraj,2013 Kraj,2014 Kraj,2015 Kraj,2016 Kraj,2017 Kraj,2018 Kraj,2019 Kraj,2020 Kraj,2021 Kraj,2022 Kraj,2023 Kraj,2024 Kraj,2025 Kraj,2026 Kraj,2012 pořadí kraj,2013 pořadí kraj,2014 pořadí kraj,2015 pořadí kraj,2016 pořadí kraj,2017 pořadí kraj,2018 pořadí kraj,2019 pořadí kraj,2020 pořadí kraj,2021 pořadí kraj,2022 pořadí kraj,2023 pořadí kraj,2024 pořadí kraj,2025 pořadí kraj,2026 pořadí kraj,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
48572,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,413,536,464,454,,513,535,560,593,623,,,,,,6585,8519,7464,7453,,8654,9349,9734,10410,11130,,,,,,413,536,464,454,,513,535,560,593,623,,,,,,,,,,,,,,,,871,13526,871,164,2594,164,473,8043,473,,,,,,,632,11133,632,539,9816,539,652,11702,652,632,11609,632
48573,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,703,716,740,692,,611,621,648,675,668,,,,,,11072,11609,12272,11771,,10355,11235,11552,11923,11908,,,,,,703,716,740,692,,611,621,648,675,668,,,,,,,,,,,,,,,,662,10442,662,778,12638,778,282,5010,282,,,,,,,703,12345,703,510,9320,510,586,10705,586,366,6827,366
48574,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,508,593,565,566,,497,533,490,458,530,,,,,,8171,9422,9053,9386,,8407,9329,8547,7954,9397,,,,,,508,593,565,566,,497,533,490,458,530,,,,,,,,,,,,,,,,813,12726,813,337,5333,337,641,10698,641,,,,,,,672,11885,672,149,2924,149,222,4237,222,739,13095,739
48575,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,630,640,624,,,567,489,517,556,539,,,,,,10115,10341,10255,,,9489,8585,8918,9703,9619,,,,,,630,640,624,,,567,489,517,556,539,,,,,,,,,,,,,,,,530,8432,530,434,7367,434,,,,,,,,,,161,3017,161,496,9071,496,671,11972,671,344,6563,344
48578,,KSST Olomoucký,,,,,,,KSST Olomoucký,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,,870,,,,,,,630,,755,541,616,,,,12118,,,,,,,10070,,11002,7952,8234,,,,870,,,,,,,630,,755,541,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,333,26,635,8940,635,,,,,,
48579,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,392,350,350,384,,410,331,329,353,362,,,,,,6329,5680,5751,6419,,6732,5811,5619,6073,6161,,,,,,392,350,350,384,,410,331,329,353,362,,,,,,,,,,,,,,,,242,3629,242,445,7536,445,704,11846,704,,,,,,,149,2793,149,287,5297,287,578,10607,578,404,7551,404
48581,,,,,,,,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,,,,,,,,,32,21,35,35,35,,,,,,,,,,,728,429,692,694,729,,,,,,,,,,,32,21,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,7,138,7,15,340,15,19,403,19,33,576,33,,,,,,
48583,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,KSST Olomoucký,,,,,,,,592,494,364,275,183,235,,175,,,,,,,,209,331,253,332,232,423,,2844,,,,,,,,12,15,13,14,11,20,,175,,,,,,,,,,55,296,12,23,189,11,58,492,15,29,370,10,716,1785,74,,,,,,,,,,,,,,,,,,,,,,,,
48584,,,,,,,,,KSST Olomoucký,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,,,,,,,,,759,,738,685,698,,,,,,,,,,,11771,,10754,9764,9422,,,,,,,,,,,759,,738,685,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,2537,184,380,4951,380,,,,,,
48585,,KSST Olomoucký,KSST Olomoucký,,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,,354,459,,,418,412,367,361,,422,404,418,,,,4854,6901,,,6848,6846,6108,6032,,6446,6104,5721,,,,354,459,,,418,412,367,361,,422,404,418,,,,,,688,10331,688,,,,,,,,,,414,6929,414,213,3478,213,453,7578,453,,,,,,,356,5297,356,321,4340,321,,,,,,
48586,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,938,1184,1363,1343,1389,1598,1592,1620,1665,919,1617,1627,1641,1630,1727,7937,8385,8743,9978,10216,12339,12559,12725,13316,6771,13001,13062,13396,13522,14325,938,1184,1363,1343,1389,1598,1592,1620,1665,919,1617,1627,1641,1630,1727,342,2951,342,895,6070,895,1051,6358,1051,1161,8421,1161,1826,13184,1826,1089,8290,1089,1313,10133,1313,1661,13095,1661,278,2049,278,719,5428,719,1109,8778,1109,1244,9927,1244,1195,9697,1195,1599,12909,1599
48587,,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,,745,738,696,683,,708,680,699,676,690,,,,,,11699,12003,11556,11618,,12332,12441,12633,12052,12252,,,,,,745,738,696,683,,708,680,699,676,690,,,,,,,,,,,,,,,,570,8972,570,326,5061,326,559,9664,559,,,,,,,479,8778,479,473,8675,473,189,3335,189,475,8846,475
48590,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,1119,1096,1285,,,,,,,,,,,,,9952,10274,12329,,,,,,,,,,,,,1119,1096,1285,,,,,,,,,,,,,,,521,5116,521,954,9630,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48593,Moravskoslezský SST,Moravskoslezský SST,,,Moravskoslezský SST,Moravskoslezský SST,,,,,Moravskoslezský SST,,,,,758,1061,,,1184,1189,,,,,1169,,,,,8406,9344,,,11481,12173,,,,,13451,,,,,758,1061,,,1184,1189,,,,,1169,,,,,441,5310,441,,,,,,,,,,938,9970,938,,,,,,,,,,,,,,,,,,,,,,,,,,,
48594,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,528,695,686,,,671,589,641,711,,726,761,783,594,622,4722,5429,5696,,,5936,5079,5518,6442,,6984,7536,7810,5554,6119,528,695,686,,,671,589,641,711,,726,761,783,594,622,524,6374,524,597,5823,597,,,,,,,,,,241,2621,241,839,10133,839,1082,12711,1082,,,,,,,857,10498,857,725,8940,725,59,604,59,905,10868,905
48595,,,,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,,,,,158,122,98,116,,,,,,,,,,,,1344,1046,852,952,,,,,,,,,,,,158,122,98,116,,,,,,,,,,,,,,,,,,,,320,2338,320,411,3073,411,1339,8605,1339,,,,,,,,,,,,,,,,,,,,,
48598,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,629,726,774,,,,,,,,,,,,,465,384,626,,,,,,,,,,,,,66,71,106,,,,,,,,,,,,,117,296,41,888,1327,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48599,,,,Moravskoslezský SST,,,Moravskoslezský SST,,,,,,,,,,,,1404,,,1331,,,,,,,,,,,,13906,,,14962,,,,,,,,,,,,1404,,,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48602,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,,796,1098,,,,,,,,,,,,,,374,333,,,,,,,,,,,,,,53,70,,,,,,,,,,,,,,265,216,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48604,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,850,1214,1174,1343,1340,,,,,,,,,,,254,544,500,951,970,,,,,,,,,,,39,108,100,166,161,,,,,,,,,,,321,254,42,313,265,52,609,775,126,919,989,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48605,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,775,1068,979,1122,1184,1180,,,,,,,,,,326,296,473,543,948,984,,,,,,,,,,48,64,85,95,143,149,,,,,,,,,,328,261,43,171,349,67,833,905,149,1155,1479,213,872,1349,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
48608,,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,,,,,,459,426,418,413,482,461,458,,496,594,,,,,,3647,3448,3361,3229,4096,3871,3822,,4309,5413,,,,,,459,426,418,413,482,461,458,,496,594,,,,,,,,,,216,2432,216,494,5362,494,514,5415,514,1112,12432,1112,449,5333,449,586,6994,586,,,,,,,1053,12422,1053,,,,,,,,,
48613,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,331,405,317,373,385,418,500,467,,,,,,,,183,302,246,2896,3038,3320,4213,3930,,,,,,,,34,59,52,373,385,418,500,467,,,,,,,,562,1144,119,202,545,94,747,7690,747,698,7537,698,810,8539,810,1121,12527,1121,415,4947,415,,,,,,,,,,,,,,,,,,,,,
48614,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,207,154,84,143,194,,,,,,,,,,,64,48,57,86,169,,,,,,,,,,,13,12,15,21,33,,,,,,,,,,,81,186,24,62,251,47,1045,1306,201,1183,1801,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48615,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,81,95,109,79,78,95,150,259,233,,304,248,229,259,367,489,570,662,460,513,489,960,1933,1786,,2431,1982,1788,2102,3267,81,95,109,79,78,95,150,259,233,,304,248,229,259,367,512,6178,512,748,7117,748,131,1375,131,716,7705,716,394,4154,394,1216,13572,1216,1211,13990,1211,423,5147,423,,,,,,,230,2588,230,362,4340,362,888,10705,888,1096,13275,1096
48616,Moravskoslezský SST,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,1217,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48617,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,143,71,57,51,40,61,43,62,59,49,51,48,44,56,50,45,40,38,49,43,286,160,294,246,213,205,170,168,245,269,9,10,10,13,12,61,43,62,59,49,51,48,44,56,50,19,91,13,211,493,89,438,977,147,158,633,85,1065,11304,1065,105,966,105,1154,13451,1154,310,3614,310,474,4448,474,216,1884,216,283,3355,283,398,4844,398,1000,11972,1000,610,7551,610
48618,,,,,,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,861,850,830,,775,800,,,,,,,,,,8108,7921,7929,,7648,8065,,,,,,,,,,861,850,830,,775,800,,,,,,,,,,,,,,,,,,,,,,517,6369,517,684,8383,684,,,,,,,795,9879,795,,,,,,,,,
48620,Moravskoslezský SST,,,Moravskoslezský SST,,,,,,,,Moravskoslezský SST,Moravskoslezský SST,,,870,,,1495,,,,,,,,1236,1203,,,1589,,,15138,,,,,,,,14100,13791,,,158,,,1495,,,,,,,,1236,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,2504,236,,,,,,
48624,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,467,617,604,577,692,748,,,,,,,,,,3802,4732,4946,4908,6144,6874,,,,,,,,,,467,617,604,577,692,748,,,,,,,,,,642,7837,642,631,6070,631,261,2893,261,1183,12202,1183,976,10468,976,,,,,,,,,,,,,,,,,,,,,,,,,,,
48626,Moravskoslezský SST,,,,,,,,,,,,,,,837,,,,,,,,,,,,,,,1493,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48627,Moravskoslezský SST,Moravskoslezský SST,,,,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,299,351,,,,488,574,,,,,,,,,162,177,,,,4052,4931,,,,,,,,,30,38,,,,488,574,,,,,,,,,534,867,96,,,,,,,,,,,,,1107,12370,1107,,,,,,,,,,,,,,,,,,,,,,,,
48628,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,260,252,238,188,171,122,100,,,85,100,103,77,92,89,147,247,231,326,293,2000,1697,,,1504,1646,1604,1206,1428,1405,7,15,12,16,14,122,100,,,85,100,103,77,92,89,264,583,28,200,605,29,128,633,33,228,1041,33,93,1424,93,179,3145,179,,,,,,,,,,165,2082,165,363,5408,363,164,2150,164,605,10278,605,323,5705,323
48629,,,KSST Jihomoravský,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,365,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48630,,,,,,,,,,,,,,KSST Zlínský,KSST Zlínský,,,,,,,,,,,,,,115,77,,,,,,,,,,,,,,1929,1324,,,,,,,,,,,,,,115,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1230,71
48631,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,515,556,629,,590,645,569,586,,,,,,,,4566,4252,5142,,5061,5668,4912,5043,,,,,,,,515,556,629,,590,645,569,586,,,,,,,,163,1776,163,965,9201,965,,,,,,,949,10104,949,272,2919,272,651,7981,651,,,,,,,,,,,,,,,,,,,,,
48633,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,407,507,401,412,415,467,448,401,471,317,447,532,535,453,513,3107,3832,3119,3233,3313,3840,3762,3289,3882,2692,3777,4737,4890,4066,4786,407,507,401,412,415,467,448,401,471,317,447,532,535,453,513,610,7435,610,181,1574,181,358,3858,358,629,6833,629,970,10360,970,573,6520,573,307,3562,307,1019,11940,1019,490,4604,490,373,3502,373,1015,12179,1015,655,7956,655,200,2248,200,988,11966,988
48634,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,107,123,99,131,143,,,,,,,,,,,71,110,95,854,959,,,,,,,,,,,13,22,23,131,143,,,,,,,,,,,428,874,97,272,654,104,862,8778,862,775,8421,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48636,Moravskoslezský SST,Moravskoslezský SST,,,,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,KSST Olomoucký,568,668,,,,,718,688,766,,,,,,497,569,500,,,,,6435,6057,7115,,,,,,7527,84,86,,,,,718,688,766,,,,,,497,185,479,57,,,,,,,,,,,,,,,,423,5061,423,1099,12964,1099,,,,,,,,,,,,,,,,,,
48642,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,437,432,566,504,491,485,502,523,584,400,562,579,639,663,770,3474,3140,4593,4189,4164,4035,4229,4513,5016,3473,5006,5239,5927,6374,7839,437,432,566,504,491,485,502,523,584,400,562,579,639,663,770,171,1887,171,1057,10204,1057,168,1839,168,560,6128,560,479,5019,479,762,8821,762,757,9314,757,956,11175,956,664,6372,664,302,2866,302,707,8778,707,935,11205,935,857,10408,857,1073,13032,1073
48643,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,,572,729,,,,,,,,,,,,,,5382,5796,,,,,,,,,,,,,,572,729,,,,,,,,,,,,,,358,4355,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48644,Moravskoslezský SST,,,,,,,,,,,,,,,761,,,,,,,,,,,,,,,8479,,,,,,,,,,,,,,,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48645,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,,,,780,1142,1110,1257,,,,1210,1203,,1152,1203,,,,8830,10174,10517,12035,,,,13253,13407,,13241,13476,,,,780,1142,1110,1257,,,,1210,1203,,1152,1203,,,,642,7837,642,521,5116,521,569,5873,569,,,,,,,,,,,,,956,11175,956,,,,,,,890,10800,890,,,,,,,,,
48646,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,624,870,879,934,946,826,838,954,969,611,985,999,973,993,938,6116,7295,7848,8386,8659,7753,7769,9446,9812,5688,10792,10639,10636,10916,10278,624,870,879,934,946,826,838,954,969,611,985,999,973,993,938,629,7712,629,770,7332,770,330,3580,330,775,8421,775,196,2078,196,633,7345,633,1182,13706,1182,942,11053,942,689,6560,689,664,6272,664,564,6996,564,562,6832,562,800,9820,800,280,3302,280
48647,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,Moravskoslezský SST,,,813,1140,1127,,,,,,,,,,1159,,,9250,10159,10752,,,,,,,,,,13196,,,813,1140,1127,,,,,,,,,,1159,,,358,4355,358,784,7437,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48650,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,762,1073,,1124,1219,,,,,,,,,,,8492,9475,,10591,11861,,,,,,,,,,,762,1073,,1124,1219,,,,,,,,,,,457,5527,457,,,,,,,1234,12623,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48651,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,691,870,834,903,934,878,922,966,944,,922,895,940,958,961,7188,7295,7400,8006,8525,8268,8816,9558,9483,,9694,9158,10256,10504,10594,691,870,834,903,934,878,922,966,944,,922,895,940,958,961,198,2279,198,478,4688,478,383,4069,383,942,9941,942,432,4544,432,913,10320,913,1015,11750,1015,684,8383,684,,,,,,,360,4465,360,1055,12525,1055,756,9333,756,643,7923,643
48652,,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,Moravskoslezský SST,,,,,,959,1075,1020,1001,1007,988,,,,1006,,,,,,8743,10022,9507,9741,10062,9853,,,,10696,,,,,,959,1075,1020,1001,1007,988,,,,1006,,,,,,,,,,644,6610,644,360,3943,360,623,6798,623,787,9107,787,529,6516,529,,,,,,,,,,,,,,,,,,,,,
48653,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,276,254,200,280,244,245,272,228,281,189,250,266,278,282,329,1961,1650,1312,2051,1722,1657,2011,1711,2188,1420,1996,2089,2197,2334,2750,276,254,200,280,244,245,272,228,281,189,250,266,278,282,329,167,1832,167,184,1622,184,1035,10459,1035,314,3412,314,470,4901,470,941,10653,941,302,3478,302,1057,12341,1057,105,805,105,486,4636,486,588,7272,588,615,7533,615,681,8662,681,898,10783,898
48655,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,251,225,229,204,202,223,265,320,392,266,351,448,,,,1772,1458,1556,1427,1406,1479,1965,2635,3178,2121,2844,3844,,,,251,225,229,204,202,223,265,320,392,266,351,448,,,,156,1665,156,575,5664,575,271,2969,271,520,5730,520,666,7206,666,1051,11816,1051,1098,12808,1098,1019,11940,1019,238,2183,238,359,3328,359,1074,12586,1074,,,,,,,,,
48656,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,,769,1081,,,,,,,,,,,,,,8628,9583,,,,,,,,,,,,,,769,1081,,,,,,,,,,,,,,428,5182,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48657,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,,714,986,,,,,,,,,,,,,,914,958,,,,,,,,,,,,,,117,145,,,,,,,,,,,,,,534,1073,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48658,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,,,,,,,,,,,750,935,889,,1248,,,,,,,,,,,8282,8176,7927,,12122,,,,,,,,,,,750,935,889,,1248,,,,,,,,,,,97,949,97,303,2901,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48661,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,620,810,850,948,968,,,,,,,,,,,6071,6641,7538,8555,8956,,,,,,,,,,,620,810,850,948,968,,,,,,,,,,,394,4756,394,924,8826,924,598,6202,598,862,9218,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48662,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,742,1103,1100,1234,1287,,,,,,,,,,,8148,9811,10325,11780,12699,,,,,,,,,,,742,1103,1100,1234,1287,,,,,,,,,,,713,8738,713,716,6787,716,543,5635,543,1218,12454,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48663,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,557,545,524,583,431,371,415,299,313,224,276,329,,328,336,221,272,288,490,370,2933,3353,2373,2498,1831,2234,2697,,2739,2835,37,54,57,87,65,371,415,299,313,224,276,329,,328,336,50,185,21,487,796,127,779,1366,200,90,429,66,260,2779,260,899,10213,899,133,1283,133,684,8383,684,461,4315,461,287,2736,287,890,10800,890,,,,,,,610,7551,610
48665,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,,659,900,878,,,,,,,,,,,,,6715,7623,7828,,,,,,,,,,,,,659,900,878,,,,,,,,,,,,,524,6374,524,532,5226,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
