ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
35564,2,3,,,,,,,,,,,,,,1048,,,,,,,,,,,,,
35612,,63,50,112,,,,,,,,,,,,,54,190,,,,,,,,,,,
35646,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,
35761,86,70,135,134,,,,,,,,,,,,438,1385,828,,,,,,,,,,,
35763,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35775,6,6,9,11,12,9,,,,,,,,,,200,465,1138,496,1061,,,,,,,,,
35776,209,139,,,,,,,,,,,,,,228,,,,,,,,,,,,,
35839,35,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
35900,200,389,461,,,,,,,,,,,,,971,1097,,,,,,,,,,,,
35922,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35944,,52,57,,,,,,,,,,,,,,239,,,,,,,,,,,,
35948,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36039,205,250,,,,,,,,,,,,,,1347,,,,,,,,,,,,,
36071,208,145,,,,,,,,,,,,,,263,,,,,,,,,,,,,
36090,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,
36099,74,71,89,106,121,127,,,,,,,,,,98,134,245,139,299,,,,,,,,,
36126,383,330,,,,,,,,,,,,,,472,,,,,,,,,,,,,
36138,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36158,,235,274,,,,,,,,,,,,,,460,,,,,,,,,,,,
36165,105,117,203,229,,,,,,,,,,,,852,1275,1207,,,,,,,,,,,
36166,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36183,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36185,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36186,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
