Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2017,Z,KSST Zlínský,dospělí,53,29,17,2,
2017,Z,KSST Ústecký,dospělí,50,40,23,2,
2017,Z,Moravskoslezský SST,dospělí,91,60,39,11,
2017,Z,Pražský SST,dospělí,148,126,72,13,
2017,Z,Středočeský SST,dospělí,143,93,49,9,
2018,M,KSST Jihomoravský,dospělí,2193,1817,1239,277,17
2018,M,KSST Jihočeský,dospělí,1130,964,641,88,1
2018,M,KSST Karlovarský,dospělí,250,196,143,31,2
2018,M,KSST Kralovéhradecký,dospělí,1274,1071,702,147,11
2018,M,KSST Liberecký,dospělí,678,580,377,88,6
2018,M,KSST Olomoucký,dospělí,915,784,573,121,1
2018,M,KSST Pardubický,dospělí,836,601,456,101,2
2018,M,KSST Plzeňský,dospělí,995,869,595,103,1
2018,M,KSST Vysočina,dospělí,1323,1152,719,111,2
2018,M,KSST Zlínský,dospělí,1055,879,611,113,1
2018,M,KSST Ústecký,dospělí,1083,868,584,100,1
2018,M,Moravskoslezský SST,dospělí,1477,1238,965,257,22
2018,M,Pražský SST,dospělí,920,805,665,209,20
2018,M,Středočeský SST,dospělí,2620,1905,1272,239,5
2018,Z,KSST Jihomoravský,dospělí,184,108,54,25,4
2018,Z,KSST Jihočeský,dospělí,68,48,24,,
2018,Z,KSST Karlovarský,dospělí,39,20,5,,
2018,Z,KSST Kralovéhradecký,dospělí,114,73,47,11,
2018,Z,KSST Liberecký,dospělí,61,39,13,,
2018,Z,KSST Olomoucký,dospělí,41,29,14,,
2018,Z,KSST Pardubický,dospělí,68,42,26,1,
2018,Z,KSST Plzeňský,dospělí,63,53,31,2,
2018,Z,KSST Vysočina,dospělí,59,43,23,4,
2018,Z,KSST Zlínský,dospělí,58,39,22,2,
2018,Z,KSST Ústecký,dospělí,58,38,24,3,
2018,Z,Moravskoslezský SST,dospělí,107,66,45,13,
2018,Z,Pražský SST,dospělí,142,127,72,16,
2018,Z,Středočeský SST,dospělí,164,100,50,10,
2019,M,KSST Jihomoravský,dospělí,2272,1837,1248,291,15
2019,M,KSST Jihočeský,dospělí,1190,991,663,94,1
2019,M,KSST Karlovarský,dospělí,246,198,148,30,4
2019,M,KSST Kralovéhradecký,dospělí,1278,1049,717,162,13
2019,M,KSST Liberecký,dospělí,675,575,380,94,7
2019,M,KSST Olomoucký,dospělí,901,772,561,128,
2019,M,KSST Pardubický,dospělí,838,705,518,112,4
2019,M,KSST Plzeňský,dospělí,960,830,580,108,2
2019,M,KSST Vysočina,dospělí,1315,1128,694,117,3
