ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
34550,49,59,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,
34572,22,20,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,
34607,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34710,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34716,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34783,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34793,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
34857,107,76,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,
34940,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34946,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34947,16,19,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,
34948,7,7,8,,,,,,,,,,,,,,21,107,,,,,,,,,,,,,
34970,15,21,17,,,,,,,,,,,,,,68,50,,,,,,,,,,,,,
35039,39,84,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,
35041,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043,31,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35082,45,43,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,
35112,6,6,5,,,,,,,,,,,,,,5,13,,,,,,,,,,,,,
35128,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35137,12,27,22,28,35,,,,,,,,,,,,105,38,150,248,,,,,,,,,,,
35172,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35173,22,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35179,51,36,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,
35219,8,,9,6,,,,,,,,,,,,,,,14,,,,,,,,,,,,
35225,18,21,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,
35264,16,21,,37,,,,,,,,,,,,,111,,,,,,,,,,,,,,
35277,31,37,36,,,,,,,,,,,,,,24,53,,,,,,,,,,,,,
35291,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35300,26,32,32,,,,,,,,,,,,,,5,67,,,,,,,,,,,,,
35311,,,140,126,,,,,,,,,,,,,,,74,,,,,,,,,,,,
35313,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35317,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35355,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35364,82,128,131,,,,,,,,,,,,,,123,149,,,,,,,,,,,,,
35370,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35373,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35396,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35397,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35424,4,4,7,,,,,,,,,,,,,,14,20,,,,,,,,,,,,,
35438,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35461,15,23,23,32,,,,,,,,,,,,,41,30,80,,,,,,,,,,,,
35511,7,4,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,
35513,46,34,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,
